QUAD,LAT,LONG,AREA,minElevation,maxElevation,TMP,AET,PET,PRECIP,BIRD,TREE,REPT,Above/Below FP
103,70.25,-160.5,40,0,75,-12.5,125,150,150,55,1,0,Below
105,70.5,-157.5,207,0,75,-12.5,125,150,150,55,1,0,Below
107,70.5,-153,145,0,75,-12.5,125,150,150,55,1,0,Below
109,70.25,-148,45,0,75,-12.5,125,150,150,55,1,0,Below
111,70.1,-143,45,0,75,-12.5,125,150,150,55,0,0,Below
115,70.1,-130.5,45,0,50,-12.5,125,150,150,60,1,0,Below
117,70.5,-127.5,45,0,50,-12.5,125,150,150,60,1,0,Below
119,70.1,-124.5,15,0,50,-12.5,125,150,150,60,0,0,Below
129,71,-96,15,0,350,-17.5,125,125,150,35,0,0,Below
131,71,-93.5,104,0,750,-17.5,125,125,150,35,0,0,Below
201,68.5,-165.75,166,0,750,-7.5,150,162.5,250,60,0,0,Below
203,68.75,-162.5,499,0,1750,-9.2,150,162.5,200,75,5,0,Below
205,68.75,-157.5,580,0,1750,-9.2,150,200,350,85,4,0,Below
207,68.75,-152.5,580,0,2250,-9.2,150,212.5,300,80,7,0,Below
209,68.75,-147.5,580,0,2500,-9.2,150,212.5,250,80,7,0,Below
211,68.75,-142.5,520,0,2500,-11.3,150,212.5,250,85,8,0,Below
213,68.25,-137.5,353,0,1750,-11.3,150,262.5,250,88,10,0,Below
215,68.5,-132.5,457,0,450,-9.2,150,250,250,88,14,0,Below
217,68.75,-127.5,519,0,350,-9.2,150,250,250,80,7,0,Below
219,68.5,-122.5,457,0,750,-10,150,225,250,68,4,0,Below
221,68,-117.5,375,0,750,-7.5,150,212.5,250,58,2,0,Below
223,67.5,-112.5,120,0,350,-7.5,150,200,250,53,0,0,Below
225,68,-106.5,150,0,350,-7.5,150,187.5,250,48,0,0,Below
227,67.75,-104,83,0,150,-7.5,150,162.5,250,43,0,0,Below
229,67.75,-97.5,150,0,150,-11.5,125,162.5,150,38,0,0,Below
231,68.5,-92.5,416,0,350,-9.2,125,162.5,150,35,0,0,Below
233,68,-87.5,229,0,350,-7.5,125,150,150,33,0,0,Below
235,68.5,-83.5,250,0,350,-7.5,125,150,150,28,0,0,Below
301,65.75,-166.25,125,0,750,-7.5,200,237.5,300,70,1,0,Below
303,65.75,-162.5,555,0,1350,-7.5,200,250,400,108,7,0,Below
305,66.25,-157.5,643,0,2250,-6.25,200,275,400,110,14,0,Below
307,66.25,-152.5,643,150,1750,-7,200,300,400,110,16,0,Below
309,66.25,-147.5,643,0,1750,-7,200,350,250,113,18,0,Below
311,66.25,-142.5,643,0,1350,-7,200,375,250,115,15,0,Below
313,66.25,-137.5,643,150,1500,-7.5,200,375,250,115,12,0,Below
315,66.25,-132.5,643,0,2250,-7.5,200,375,300,105,15,0,Below
317,66.25,-127.5,643,0,2250,-7.5,200,362.5,300,100,18,0,Below
319,66.25,-122.5,312,0,750,-7.5,200,337.5,300,95,14,0,Below
321,66.25,-117.5,550,0,750,-7.5,200,300,300,85,12,0,Below
323,66.25,-112.5,643,0,750,-8,200,275,300,70,4,0,Below
325,66.25,-107.5,774,0,750,-8.75,200,287.5,300,58,0,0,Below
327,66.25,-102.5,643,0,350,-12.5,200,300,300,48,1,0,Below
329,66.25,-97.5,597,0,350,-12.5,175,287.5,250,43,0,0,Below
331,66.25,-92.5,620,0,750,-12.5,175,162.5,250,35,0,0,Below
